outer_fold,feature_name,base_feature_name,category_level,coefficient,abs_coefficient,absolute_rank
0,land_cover_class_31,land_cover_class,31,1.2072019130671432,1.2072019130671432,1
0,climate_group_hot_arid,climate_group,hot_arid,-0.7477796396216568,0.7477796396216568,2
0,land_cover_class_82,land_cover_class,82,0.6078112227641468,0.6078112227641468,3
0,land_cover_class_52,land_cover_class,52,0.5375236218541549,0.5375236218541549,4
0,land_cover_class_90,land_cover_class,90,-0.5153979775134956,0.5153979775134956,5
0,land_cover_class_43,land_cover_class,43,-0.3710295309134952,0.3710295309134952,6
0,ndvi_median_may_aug,ndvi_median_may_aug,,-0.36815405657256284,0.36815405657256284,7
0,land_cover_class_41,land_cover_class,41,-0.3542555656034398,0.3542555656034398,8
0,impervious_pct,impervious_pct,,0.28886423222375696,0.28886423222375696,9
0,land_cover_class_42,land_cover_class,42,-0.2359553129623874,0.2359553129623874,10
0,climate_group_mild_cool,climate_group,mild_cool,-0.20845724483120578,0.20845724483120578,11
0,land_cover_class_71,land_cover_class,71,0.16391112120124363,0.16391112120124363,12
0,land_cover_class_22,land_cover_class,22,-0.1572418951385382,0.1572418951385382,13
0,land_cover_class_23,land_cover_class,23,-0.15330040481538154,0.15330040481538154,14
0,land_cover_class_21,land_cover_class,21,-0.08637760809854104,0.08637760809854104,15
0,elevation_m,elevation_m,,0.03589479939543113,0.03589479939543113,16
0,land_cover_class_81,land_cover_class,81,-0.029304988409670146,0.029304988409670146,17
0,dist_to_water_m,dist_to_water_m,,0.0019945624402752174,0.0019945624402752174,18
0,climate_group_hot_humid,climate_group,hot_humid,0.0,0.0,19
0,land_cover_class_24,land_cover_class,24,0.0,0.0,19
0,land_cover_class_95,land_cover_class,95,0.0,0.0,19
1,land_cover_class_31,land_cover_class,31,1.0783160768322064,1.0783160768322064,1
1,land_cover_class_82,land_cover_class,82,0.7761688226573066,0.7761688226573066,2
1,land_cover_class_90,land_cover_class,90,-0.7181004222877405,0.7181004222877405,3
1,land_cover_class_71,land_cover_class,71,0.6279191726528286,0.6279191726528286,4
1,land_cover_class_52,land_cover_class,52,0.5850170406676973,0.5850170406676973,5
1,climate_group_hot_arid,climate_group,hot_arid,-0.5406130252677294,0.5406130252677294,6
1,land_cover_class_41,land_cover_class,41,-0.516063688672568,0.516063688672568,7
1,land_cover_class_42,land_cover_class,42,-0.4805622852228423,0.4805622852228423,8
1,land_cover_class_43,land_cover_class,43,-0.4572642421441025,0.4572642421441025,9
1,ndvi_median_may_aug,ndvi_median_may_aug,,-0.44266270638116123,0.44266270638116123,10
1,land_cover_class_81,land_cover_class,81,-0.3995335906612719,0.3995335906612719,11
1,climate_group_hot_humid,climate_group,hot_humid,0.36427109484710035,0.36427109484710035,12
1,land_cover_class_22,land_cover_class,22,-0.21463635522293656,0.21463635522293656,13
1,impervious_pct,impervious_pct,,0.20862137444704865,0.20862137444704865,14
1,land_cover_class_23,land_cover_class,23,-0.17723869705510334,0.17723869705510334,15
1,land_cover_class_21,land_cover_class,21,-0.17274414806956098,0.17274414806956098,16
1,land_cover_class_95,land_cover_class,95,-0.1538968697217004,0.1538968697217004,17
1,elevation_m,elevation_m,,-0.05513020831999469,0.05513020831999469,18
1,climate_group_mild_cool,climate_group,mild_cool,-0.05080728014003094,0.05080728014003094,19
1,dist_to_water_m,dist_to_water_m,,0.036474179840662875,0.036474179840662875,20
1,land_cover_class_24,land_cover_class,24,-0.004530024313190651,0.004530024313190651,21
2,climate_group_hot_arid,climate_group,hot_arid,-2.299558062287688,2.299558062287688,1
2,climate_group_mild_cool,climate_group,mild_cool,-1.7144046745480768,1.7144046745480768,2
2,land_cover_class_42,land_cover_class,42,-1.3360077584921712,1.3360077584921712,3
2,climate_group_hot_humid,climate_group,hot_humid,-1.3155642473983489,1.3155642473983489,4
2,land_cover_class_31,land_cover_class,31,1.1539606960006232,1.1539606960006232,5
2,land_cover_class_90,land_cover_class,90,-1.1319238690679252,1.1319238690679252,6
2,land_cover_class_43,land_cover_class,43,-1.0197101339858503,1.0197101339858503,7
2,land_cover_class_41,land_cover_class,41,-0.9689533513259774,0.9689533513259774,8
2,land_cover_class_81,land_cover_class,81,-0.7276262553405919,0.7276262553405919,9
2,land_cover_class_82,land_cover_class,82,0.6290236970413055,0.6290236970413055,10
2,land_cover_class_22,land_cover_class,22,-0.5702596009400358,0.5702596009400358,11
2,land_cover_class_95,land_cover_class,95,-0.5609435249506725,0.5609435249506725,12
2,land_cover_class_23,land_cover_class,23,-0.5584619119404308,0.5584619119404308,13
2,land_cover_class_21,land_cover_class,21,-0.454944800444885,0.454944800444885,14
2,land_cover_class_24,land_cover_class,24,-0.4251214531511426,0.4251214531511426,15
2,ndvi_median_may_aug,ndvi_median_may_aug,,-0.4167138123931174,0.4167138123931174,16
2,land_cover_class_71,land_cover_class,71,0.3633298833722638,0.3633298833722638,17
2,land_cover_class_52,land_cover_class,52,0.27811139899178144,0.27811139899178144,18
2,impervious_pct,impervious_pct,,0.2757912161549836,0.2757912161549836,19
2,elevation_m,elevation_m,,0.04599097744642669,0.04599097744642669,20
2,dist_to_water_m,dist_to_water_m,,0.014908886327366573,0.014908886327366573,21
3,climate_group_hot_arid,climate_group,hot_arid,-2.4460378334995854,2.4460378334995854,1
3,climate_group_mild_cool,climate_group,mild_cool,-1.7843235712032788,1.7843235712032788,2
3,climate_group_hot_humid,climate_group,hot_humid,-1.191148949121579,1.191148949121579,3
3,land_cover_class_90,land_cover_class,90,-1.1035982780572173,1.1035982780572173,4
3,land_cover_class_41,land_cover_class,41,-0.979823996256971,0.979823996256971,5
3,land_cover_class_43,land_cover_class,43,-0.8465056789014666,0.8465056789014666,6
3,land_cover_class_82,land_cover_class,82,0.8213475692960343,0.8213475692960343,7
3,land_cover_class_42,land_cover_class,42,-0.7883514662852057,0.7883514662852057,8
3,land_cover_class_31,land_cover_class,31,-0.615708240549166,0.615708240549166,9
3,land_cover_class_71,land_cover_class,71,0.5559963773658306,0.5559963773658306,10
3,land_cover_class_22,land_cover_class,22,-0.5497014305358718,0.5497014305358718,11
3,ndvi_median_may_aug,ndvi_median_may_aug,,-0.5490081941508455,0.5490081941508455,12
3,land_cover_class_23,land_cover_class,23,-0.5356899048434791,0.5356899048434791,13
3,land_cover_class_81,land_cover_class,81,-0.5199632196341596,0.5199632196341596,14
3,land_cover_class_21,land_cover_class,21,-0.37012463918687505,0.37012463918687505,15
3,land_cover_class_24,land_cover_class,24,-0.3540113453183141,0.3540113453183141,16
3,impervious_pct,impervious_pct,,0.3102282103507326,0.3102282103507326,17
3,land_cover_class_95,land_cover_class,95,-0.2576996230275189,0.2576996230275189,18
3,land_cover_class_52,land_cover_class,52,0.21332433270997675,0.21332433270997675,19
3,elevation_m,elevation_m,,0.06563114889355849,0.06563114889355849,20
3,dist_to_water_m,dist_to_water_m,,0.012204703296853376,0.012204703296853376,21
4,climate_group_hot_arid,climate_group,hot_arid,-2.188523079515004,2.188523079515004,1
4,climate_group_mild_cool,climate_group,mild_cool,-1.5101158398315633,1.5101158398315633,2
4,climate_group_hot_humid,climate_group,hot_humid,-1.2819242218679672,1.2819242218679672,3
4,land_cover_class_90,land_cover_class,90,-1.1273274688450365,1.1273274688450365,4
4,land_cover_class_31,land_cover_class,31,0.9889947840388463,0.9889947840388463,5
4,land_cover_class_43,land_cover_class,43,-0.9060460492210599,0.9060460492210599,6
4,land_cover_class_42,land_cover_class,42,-0.8918147444678387,0.8918147444678387,7
4,land_cover_class_41,land_cover_class,41,-0.7940502349083809,0.7940502349083809,8
4,land_cover_class_22,land_cover_class,22,-0.6713980304675348,0.6713980304675348,9
4,land_cover_class_23,land_cover_class,23,-0.624251067193392,0.624251067193392,10
4,land_cover_class_82,land_cover_class,82,0.5892672056034973,0.5892672056034973,11
4,land_cover_class_21,land_cover_class,21,-0.5137857979446684,0.5137857979446684,12
4,land_cover_class_24,land_cover_class,24,-0.5036806328643814,0.5036806328643814,13
4,ndvi_median_may_aug,ndvi_median_may_aug,,-0.4372407863683744,0.4372407863683744,14
4,land_cover_class_81,land_cover_class,81,-0.4284382807782551,0.4284382807782551,15
4,land_cover_class_95,land_cover_class,95,-0.39511247935727395,0.39511247935727395,16
4,land_cover_class_71,land_cover_class,71,0.3475734748117081,0.3475734748117081,17
4,impervious_pct,impervious_pct,,0.2840923654387594,0.2840923654387594,18
4,land_cover_class_52,land_cover_class,52,0.05561276727657483,0.05561276727657483,19
4,elevation_m,elevation_m,,0.05111242066782857,0.05111242066782857,20
4,dist_to_water_m,dist_to_water_m,,-0.006573338906890298,0.006573338906890298,21
